formula,description
Sr(AlCl4)2,"Sr(AlCl4)2 crystallizes in the monoclinic P2/c space group. The structure is two-dimensional and consists of one Sr(AlCl4)2 sheet oriented in the (0, 0, 1) direction. Sr(1) is bonded in a 8-coordinate geometry to two equivalent Cl(1), two equivalent Cl(2), two equivalent Cl(3), and two equivalent Cl(4) atoms. Both Sr(1)-Cl(1) bond lengths are 3.01 Å. Both Sr(1)-Cl(2) bond lengths are 3.07 Å. Both Sr(1)-Cl(3) bond lengths are 3.03 Å. Both Sr(1)-Cl(4) bond lengths are 3.04 Å. Al(1) is bonded in a tetrahedral geometry to one Cl(1), one Cl(2), one Cl(3), and one Cl(4) atom. The Al(1)-Cl(1) bond length is 2.16 Å. The Al(1)-Cl(2) bond length is 2.16 Å. The Al(1)-Cl(3) bond length is 2.16 Å. The Al(1)-Cl(4) bond length is 2.16 Å. There are four inequivalent Cl sites. In the first Cl site, Cl(1) is bonded in a bent 120 degrees geometry to one Sr(1) and one Al(1) atom. In the second Cl site, Cl(2) is bonded in a distorted L-shaped geometry to one Sr(1) and one Al(1) atom. In the third Cl site, Cl(3) is bonded in a distorted bent 120 degrees geometry to one Sr(1) and one Al(1) atom. In the fourth Cl site, Cl(4) is bonded in an L-shaped geometry to one Sr(1) and one Al(1) atom."
ZrBr,"ZrBr crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of two ZrBr sheets oriented in the (0, 0, 1) direction. Zr(1) is bonded in a 3-coordinate geometry to three equivalent Br(1) atoms. All Zr(1)-Br(1) bond lengths are 2.78 Å. Br(1) is bonded in a 3-coordinate geometry to three equivalent Zr(1) atoms."
UTe3,"UTe3 crystallizes in the orthorhombic Pmn2_1 space group. The structure is two-dimensional and consists of one UTe3 sheet oriented in the (0, 0, 1) direction. U(1) is bonded in a 9-coordinate geometry to two equivalent Te(2), two equivalent Te(3), and five equivalent Te(1) atoms. Both U(1)-Te(2) bond lengths are 3.20 Å. Both U(1)-Te(3) bond lengths are 3.23 Å. There is one shorter (3.24 Å) and four longer (3.26 Å) U(1)-Te(1) bond lengths. There are three inequivalent Te sites. In the first Te site, Te(1) is bonded to five equivalent U(1) atoms to form a mixture of distorted corner and edge-sharing TeU5 trigonal bipyramids. In the second Te site, Te(2) is bonded in an L-shaped geometry to two equivalent U(1) atoms. In the third Te site, Te(3) is bonded in an L-shaped geometry to two equivalent U(1) atoms."
ThTe3,"ThTe3 crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one ThTe3 sheet oriented in the (0, 0, 1) direction. Th(1) is bonded in a 8-coordinate geometry to two equivalent Te(1), two equivalent Te(3), and four equivalent Te(2) atoms. Both Th(1)-Te(1) bond lengths are 3.21 Å. Both Th(1)-Te(3) bond lengths are 3.21 Å. There are two shorter (3.21 Å) and two longer (3.28 Å) Th(1)-Te(2) bond lengths. There are three inequivalent Te sites. In the first Te site, Te(1) is bonded in an L-shaped geometry to two equivalent Th(1) atoms. In the second Te site, Te(2) is bonded to four equivalent Th(1) atoms to form a mixture of distorted corner and edge-sharing TeTh4 trigonal pyramids. In the third Te site, Te(3) is bonded in an L-shaped geometry to two equivalent Th(1) atoms."
TmOCl,"TmOCl crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one TmOCl sheet oriented in the (0, 0, 1) direction. Tm(1) is bonded to four equivalent O(1) and two equivalent Cl(1) atoms to form a mixture of distorted corner and edge-sharing TmCl2O4 octahedra. The corner-sharing octahedral tilt angles are 41°. There are two shorter (2.19 Å) and two longer (2.26 Å) Tm(1)-O(1) bond lengths. Both Tm(1)-Cl(1) bond lengths are 2.63 Å. O(1) is bonded to four equivalent Tm(1) atoms to form a mixture of corner and edge-sharing OTm4 tetrahedra. Cl(1) is bonded in an L-shaped geometry to two equivalent Tm(1) atoms."
TiNbS4,"TiNbS4 is trigonal omega-derived structured and crystallizes in the monoclinic P2/m space group. The structure is two-dimensional and consists of one TiNbS4 sheet oriented in the (0, 0, 1) direction. Ti(1) is bonded to two equivalent S(1) and four equivalent S(2) atoms to form TiS6 octahedra that share edges with two equivalent Ti(1)S6 octahedra and edges with four equivalent Nb(1)S6 octahedra. Both Ti(1)-S(1) bond lengths are 2.45 Å. All Ti(1)-S(2) bond lengths are 2.44 Å. Nb(1) is bonded to two equivalent S(2) and four equivalent S(1) atoms to form NbS6 octahedra that share edges with two equivalent Nb(1)S6 octahedra and edges with four equivalent Ti(1)S6 octahedra. Both Nb(1)-S(2) bond lengths are 2.48 Å. All Nb(1)-S(1) bond lengths are 2.49 Å. There are two inequivalent S sites. In the first S site, S(1) is bonded in a distorted T-shaped geometry to one Ti(1) and two equivalent Nb(1) atoms. In the second S site, S(2) is bonded in a distorted T-shaped geometry to two equivalent Ti(1) and one Nb(1) atom."
KAuSe2,"KAuSe2 crystallizes in the monoclinic P2/m space group. The structure is two-dimensional and consists of one KAuSe2 sheet oriented in the (0, 0, 1) direction. K(1) is bonded to two equivalent Au(1) and four equivalent Se(1) atoms to form KAu2Se4 octahedra that share corners with two equivalent K(1)Au2Se4 octahedra, corners with four equivalent Au(1)K2Se4 octahedra, edges with two equivalent K(1)Au2Se4 octahedra, and edges with two equivalent Au(1)K2Se4 octahedra. The corner-sharing octahedral tilt angles range from 0-62°. Both K(1)-Au(1) bond lengths are 3.37 Å. All K(1)-Se(1) bond lengths are 3.36 Å. Au(1) is bonded to two equivalent K(1) and four equivalent Se(1) atoms to form distorted AuK2Se4 octahedra that share corners with two equivalent Au(1)K2Se4 octahedra, corners with four equivalent K(1)Au2Se4 octahedra, edges with two equivalent K(1)Au2Se4 octahedra, and edges with two equivalent Au(1)K2Se4 octahedra. The corner-sharing octahedral tilt angles range from 0-62°. All Au(1)-Se(1) bond lengths are 2.52 Å. Se(1) is bonded in a 4-coordinate geometry to two equivalent K(1) and two equivalent Au(1) atoms."
Zr(HPO3)2.,"Zr(HPO3)2. crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Zr(HPO3)2. sheet oriented in the (0, 0, 1) direction. Zr(1) is bonded to six equivalent O(1) atoms to form ZrO6 octahedra that share corners with six equivalent P(1)HO3 tetrahedra. All Zr(1)-O(1) bond lengths are 2.08 Å. P(1) is bonded to one H(1) and three equivalent O(1) atoms to form distorted PHO3 tetrahedra that share corners with three equivalent Zr(1)O6 octahedra. The corner-sharing octahedral tilt angles are 18°. The P(1)-H(1) bond length is 1.40 Å. All P(1)-O(1) bond lengths are 1.53 Å. H(1) is bonded in a single-bond geometry to one P(1) atom. O(1) is bonded in a bent 150 degrees geometry to one Zr(1) and one P(1) atom."
Sb2Te3,"Sb2Te3 crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one Sb2Te3 sheet oriented in the (0, 0, 1) direction. Sb(1) is bonded to three equivalent Te(1) and three equivalent Te(2) atoms to form a mixture of corner and edge-sharing SbTe6 octahedra. The corner-sharing octahedra are not tilted. All Sb(1)-Te(1) bond lengths are 3.02 Å. All Sb(1)-Te(2) bond lengths are 3.20 Å. There are two inequivalent Te sites. In the first Te site, Te(1) is bonded in a distorted T-shaped geometry to three equivalent Sb(1) atoms. In the second Te site, Te(2) is bonded to six equivalent Sb(1) atoms to form edge-sharing TeSb6 octahedra."
TiO2,"TiO2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TiO2 sheet oriented in the (0, 0, 1) direction. Ti(1) is bonded to six equivalent O(1) atoms to form edge-sharing TiO6 octahedra. All Ti(1)-O(1) bond lengths are 1.98 Å. O(1) is bonded in a distorted trigonal non-coplanar geometry to three equivalent Ti(1) atoms."
CdPS3,"CdPS3 crystallizes in the trigonal P-3 space group. The structure is two-dimensional and consists of one CdPS3 sheet oriented in the (0, 0, 1) direction. Cd(1) is bonded to six equivalent S(1) atoms to form CdS6 octahedra that share corners with six equivalent P(1)PS3 tetrahedra and edges with three equivalent Cd(1)S6 octahedra. There are three shorter (2.74 Å) and three longer (2.76 Å) Cd(1)-S(1) bond lengths. P(1) is bonded to one P(1) and three equivalent S(1) atoms to form distorted PPS3 tetrahedra that share corners with six equivalent Cd(1)S6 octahedra. The corner-sharing octahedral tilt angles are 77°. The P(1)-P(1) bond length is 2.27 Å. All P(1)-S(1) bond lengths are 2.04 Å. S(1) is bonded in a distorted trigonal non-coplanar geometry to two equivalent Cd(1) and one P(1) atom."
CrAg(PS3)2,"CrAg(PS3)2 crystallizes in the monoclinic P2/c space group. The structure is two-dimensional and consists of one CrAg(PS3)2 sheet oriented in the (0, 0, 1) direction. Cr(1) is bonded to two equivalent S(2) and four equivalent S(1) atoms to form CrS6 octahedra that share corners with six equivalent P(1)PS3 tetrahedra,  an edgeedge with one Ag(1)S6 octahedra, and edges with two equivalent Cr(1)S6 octahedra. Both Cr(1)-S(2) bond lengths are 2.42 Å. All Cr(1)-S(1) bond lengths are 2.44 Å. Ag(1) is bonded to two equivalent S(2) and four equivalent S(3) atoms to form distorted AgS6 octahedra that share corners with six equivalent P(1)PS3 tetrahedra,  an edgeedge with one Cr(1)S6 octahedra, and edges with two equivalent Ag(1)S6 octahedra. Both Ag(1)-S(2) bond lengths are 2.85 Å. There are two shorter (2.71 Å) and two longer (2.88 Å) Ag(1)-S(3) bond lengths. P(1) is bonded to one P(1), one S(1), one S(2), and one S(3) atom to form distorted PPS3 tetrahedra that share corners with three equivalent Cr(1)S6 octahedra and corners with three equivalent Ag(1)S6 octahedra. The corner-sharing octahedral tilt angles range from 73-85°. The P(1)-P(1) bond length is 2.23 Å. The P(1)-S(1) bond length is 2.13 Å. The P(1)-S(2) bond length is 2.05 Å. The P(1)-S(3) bond length is 1.98 Å. There are three inequivalent S sites. In the first S site, S(1) is bonded in a trigonal non-coplanar geometry to two equivalent Cr(1) and one P(1) atom. In the second S site, S(2) is bonded in a distorted trigonal non-coplanar geometry to one Cr(1), one Ag(1), and one P(1) atom. In the third S site, S(3) is bonded in a 3-coordinate geometry to two equivalent Ag(1) and one P(1) atom."
NHS7,"NHS7 is Indium-like structured and crystallizes in the orthorhombic Pmc2_1 space group. The structure is zero-dimensional and consists of two heptathiazocine molecules. N(1) is bonded in a trigonal planar geometry to one H(1) and two equivalent S(3) atoms. The N(1)-H(1) bond length is 1.03 Å. Both N(1)-S(3) bond lengths are 1.68 Å. H(1) is bonded in a single-bond geometry to one N(1) atom. There are four inequivalent S sites. In the first S site, S(1) is bonded in a water-like geometry to one S(2) and one S(3) atom. The S(1)-S(2) bond length is 2.08 Å. The S(1)-S(3) bond length is 2.08 Å. In the second S site, S(2) is bonded in a distorted water-like geometry to one S(1) and one S(4) atom. The S(2)-S(4) bond length is 2.07 Å. In the third S site, S(3) is bonded in a single-bond geometry to one N(1) and one S(1) atom. In the fourth S site, S(4) is bonded in a water-like geometry to two equivalent S(2) atoms."
Tl2O,"Tl2O is trigonal omega-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one Tl2O sheet oriented in the (0, 0, 1) direction. Tl(1) is bonded in a distorted T-shaped geometry to three equivalent O(1) atoms. All Tl(1)-O(1) bond lengths are 2.56 Å. O(1) is bonded to six equivalent Tl(1) atoms to form edge-sharing OTl6 octahedra."
AgBiP2Se6,"AgBiP2Se6 crystallizes in the trigonal P3 space group. The structure is two-dimensional and consists of one AgBiP2Se6 sheet oriented in the (0, 0, 1) direction. Ag(1) is bonded to three equivalent Se(1) and three equivalent Se(2) atoms to form AgSe6 octahedra that share corners with three equivalent P(1)PSe3 tetrahedra, corners with three equivalent P(2)PSe3 tetrahedra, and edges with three equivalent Bi(1)Se6 octahedra. All Ag(1)-Se(1) bond lengths are 2.79 Å. All Ag(1)-Se(2) bond lengths are 3.03 Å. Bi(1) is bonded to three equivalent Se(1) and three equivalent Se(2) atoms to form BiSe6 octahedra that share corners with three equivalent P(1)PSe3 tetrahedra, corners with three equivalent P(2)PSe3 tetrahedra, and edges with three equivalent Ag(1)Se6 octahedra. All Bi(1)-Se(1) bond lengths are 2.97 Å. All Bi(1)-Se(2) bond lengths are 2.99 Å. There are two inequivalent P sites. In the first P site, P(1) is bonded to one P(2) and three equivalent Se(1) atoms to form PPSe3 tetrahedra that share corners with three equivalent Ag(1)Se6 octahedra and corners with three equivalent Bi(1)Se6 octahedra. The corner-sharing octahedral tilt angles are 77°. The P(1)-P(2) bond length is 2.31 Å. All P(1)-Se(1) bond lengths are 2.22 Å. In the second P site, P(2) is bonded to one P(1) and three equivalent Se(2) atoms to form PPSe3 tetrahedra that share corners with three equivalent Ag(1)Se6 octahedra and corners with three equivalent Bi(1)Se6 octahedra. The corner-sharing octahedral tilt angles range from 75-81°. All P(2)-Se(2) bond lengths are 2.21 Å. There are two inequivalent Se sites. In the first Se site, Se(1) is bonded in a distorted trigonal non-coplanar geometry to one Ag(1), one Bi(1), and one P(1) atom. In the second Se site, Se(2) is bonded in a distorted trigonal non-coplanar geometry to one Ag(1), one Bi(1), and one P(2) atom."
VCl2,"VCl2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one VCl2 sheet oriented in the (0, 0, 1) direction. V(1) is bonded to six equivalent Cl(1) atoms to form edge-sharing VCl6 octahedra. All V(1)-Cl(1) bond lengths are 2.49 Å. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent V(1) atoms."
HoOI,"HoOI is lead oxide-derived structured and crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one HoOI sheet oriented in the (0, 0, 1) direction. Ho(1) is bonded in a 4-coordinate geometry to four equivalent O(1) and four equivalent I(1) atoms. All Ho(1)-O(1) bond lengths are 2.24 Å. All Ho(1)-I(1) bond lengths are 3.35 Å. O(1) is bonded to four equivalent Ho(1) atoms to form a mixture of corner and edge-sharing OHo4 tetrahedra. I(1) is bonded in a 4-coordinate geometry to four equivalent Ho(1) atoms."
YbI2,"YbI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one YbI2 sheet oriented in the (0, 0, 1) direction. Yb(1) is bonded to six equivalent I(1) atoms to form edge-sharing YbI6 octahedra. All Yb(1)-I(1) bond lengths are 3.11 Å. I(1) is bonded in a distorted T-shaped geometry to three equivalent Yb(1) atoms."
RbAuSe,"RbAuSe crystallizes in the orthorhombic Pmma space group. The structure is two-dimensional and consists of one RbAuSe sheet oriented in the (0, 0, 1) direction. Rb(1) is bonded in a 5-coordinate geometry to two equivalent Au(1) and three equivalent Se(1) atoms. Both Rb(1)-Au(1) bond lengths are 3.33 Å. There is one shorter (3.41 Å) and two longer (3.51 Å) Rb(1)-Se(1) bond lengths. Au(1) is bonded in a 4-coordinate geometry to two equivalent Rb(1) and two equivalent Se(1) atoms. Both Au(1)-Se(1) bond lengths are 2.46 Å. Se(1) is bonded in a pentagonal planar geometry to three equivalent Rb(1) and two equivalent Au(1) atoms."
KAuSe,"KAuSe crystallizes in the orthorhombic Pmma space group. The structure is two-dimensional and consists of one KAuSe sheet oriented in the (0, 0, 1) direction. K(1) is bonded in a 5-coordinate geometry to two equivalent Au(1) and three equivalent Se(1) atoms. Both K(1)-Au(1) bond lengths are 3.23 Å. There is one shorter (3.24 Å) and two longer (3.35 Å) K(1)-Se(1) bond lengths. Au(1) is bonded in a 4-coordinate geometry to two equivalent K(1) and two equivalent Se(1) atoms. Both Au(1)-Se(1) bond lengths are 2.46 Å. Se(1) is bonded in a distorted pentagonal planar geometry to three equivalent K(1) and two equivalent Au(1) atoms."
NiP2,"NiP2 crystallizes in the monoclinic P2_1/c space group. The structure is two-dimensional and consists of one NiP2 sheet oriented in the (0, 0, 1) direction. Ni(1) is bonded in a square co-planar geometry to four equivalent P(1) atoms. All Ni(1)-P(1) bond lengths are 2.17 Å. P(1) is bonded in a trigonal planar geometry to two equivalent Ni(1) and one P(1) atom. The P(1)-P(1) bond length is 2.10 Å."
VOBr,"VOBr crystallizes in the orthorhombic Pmmn space group. The structure is two-dimensional and consists of one VOBr sheet oriented in the (0, 0, 1) direction. V(1) is bonded to four equivalent O(1) and two equivalent Br(1) atoms to form a mixture of distorted corner and edge-sharing VBr2O4 octahedra. The corner-sharing octahedral tilt angles are 31°. There are two shorter (1.96 Å) and two longer (2.12 Å) V(1)-O(1) bond lengths. Both V(1)-Br(1) bond lengths are 2.52 Å. O(1) is bonded to four equivalent V(1) atoms to form a mixture of distorted corner and edge-sharing OV4 tetrahedra. Br(1) is bonded in an L-shaped geometry to two equivalent V(1) atoms."
PbF4,"PbF4 crystallizes in the tetragonal P4/mmm space group. The structure is two-dimensional and consists of one PbF4 sheet oriented in the (0, 0, 1) direction. Pb(1) is bonded to two equivalent F(1) and four equivalent F(2) atoms to form corner-sharing PbF6 octahedra. The corner-sharing octahedra are not tilted. Both Pb(1)-F(1) bond lengths are 1.99 Å. All Pb(1)-F(2) bond lengths are 2.19 Å. There are two inequivalent F sites. In the first F site, F(1) is bonded in a single-bond geometry to one Pb(1) atom. In the second F site, F(2) is bonded in a linear geometry to two equivalent Pb(1) atoms."
TiGeO3,"TiGeO3 crystallizes in the trigonal P-3 space group. The structure is two-dimensional and consists of one TiGeO3 sheet oriented in the (0, 0, 1) direction. Ti(1) is bonded to six equivalent O(1) atoms to form edge-sharing TiO6 octahedra. There are three shorter (1.92 Å) and three longer (2.03 Å) Ti(1)-O(1) bond lengths. Ge(1) is bonded in a distorted T-shaped geometry to three equivalent O(1) atoms. All Ge(1)-O(1) bond lengths are 1.98 Å. O(1) is bonded in a 3-coordinate geometry to two equivalent Ti(1) and one Ge(1) atom."
NbI5,"NbI5 is Indium-like structured and crystallizes in the monoclinic Pc space group. The structure is zero-dimensional and consists of two niobium iodide (nbi5) molecules. Nb(1) is bonded in a distorted trigonal bipyramidal geometry to one I(1), one I(2), one I(3), one I(4), and one I(5) atom. The Nb(1)-I(1) bond length is 2.72 Å. The Nb(1)-I(2) bond length is 2.71 Å. The Nb(1)-I(3) bond length is 2.71 Å. The Nb(1)-I(4) bond length is 2.61 Å. The Nb(1)-I(5) bond length is 2.72 Å. There are five inequivalent I sites. In the first I site, I(1) is bonded in a single-bond geometry to one Nb(1) atom. In the second I site, I(2) is bonded in a single-bond geometry to one Nb(1) atom. In the third I site, I(3) is bonded in a single-bond geometry to one Nb(1) atom. In the fourth I site, I(4) is bonded in a single-bond geometry to one Nb(1) atom. In the fifth I site, I(5) is bonded in a single-bond geometry to one Nb(1) atom."
PSe,"PSe crystallizes in the monoclinic P2_1 space group. The structure is one-dimensional and consists of two PSe ribbons oriented in the (0, 1, 0) direction. There are four inequivalent P sites. In the first P site, P(1) is bonded in a distorted trigonal non-coplanar geometry to one P(2), one Se(1), and one Se(3) atom. The P(1)-P(2) bond length is 2.22 Å. The P(1)-Se(1) bond length is 2.30 Å. The P(1)-Se(3) bond length is 2.28 Å. In the second P site, P(2) is bonded in a distorted water-like geometry to one P(1), one Se(2), and one Se(4) atom. The P(2)-Se(2) bond length is 2.31 Å. The P(2)-Se(4) bond length is 2.33 Å. In the third P site, P(3) is bonded in a distorted trigonal non-coplanar geometry to one P(4), one Se(1), and one Se(2) atom. The P(3)-P(4) bond length is 2.22 Å. The P(3)-Se(1) bond length is 2.31 Å. The P(3)-Se(2) bond length is 2.31 Å. In the fourth P site, P(4) is bonded in a 3-coordinate geometry to one P(3), one Se(3), and one Se(4) atom. The P(4)-Se(3) bond length is 2.29 Å. The P(4)-Se(4) bond length is 2.30 Å. There are four inequivalent Se sites. In the first Se site, Se(1) is bonded in a single-bond geometry to one P(1) and one P(3) atom. In the second Se site, Se(2) is bonded in an L-shaped geometry to one P(2) and one P(3) atom. In the third Se site, Se(3) is bonded in a single-bond geometry to one P(1) and one P(4) atom. In the fourth Se site, Se(4) is bonded in a water-like geometry to one P(2) and one P(4) atom."
CrPS4,"CrPS4 crystallizes in the triclinic P-1 space group. The structure is two-dimensional and consists of one CrPS4 sheet oriented in the (0, 0, 1) direction. Cr(1) is bonded to two equivalent S(1,2); two equivalent S(3); and two equivalent S(4) atoms to form CrS6 octahedra that share corners with two equivalent P(1)S4 tetrahedra, edges with two equivalent Cr(1)S6 octahedra, and edges with two equivalent P(1)S4 tetrahedra. Both Cr(1)-S(1,2) bond lengths are 2.39 Å. Both Cr(1)-S(3) bond lengths are 2.45 Å. Both Cr(1)-S(4) bond lengths are 2.43 Å. P(1) is bonded to one S(3); one S(4); and two equivalent S(1,2) atoms to form PS4 tetrahedra that share corners with two equivalent Cr(1)S6 octahedra and edges with two equivalent Cr(1)S6 octahedra. The corner-sharing octahedral tilt angles are 66°. The P(1)-S(3) bond length is 2.11 Å. The P(1)-S(4) bond length is 2.11 Å. Both P(1)-S(1,2) bond lengths are 2.03 Å. There are three inequivalent S sites. In the first S site, S(1,2) is bonded in an L-shaped geometry to one Cr(1) and one P(1) atom. In the second S site, S(3) is bonded in a trigonal non-coplanar geometry to two equivalent Cr(1) and one P(1) atom. In the third S site, S(4) is bonded in a distorted T-shaped geometry to two equivalent Cr(1) and one P(1) atom."
CaHI,"CaHI crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one CaHI sheet oriented in the (0, 0, 1) direction. Ca(1) is bonded in a 8-coordinate geometry to four equivalent H(1) and four equivalent I(1) atoms. All Ca(1)-H(1) bond lengths are 2.34 Å. All Ca(1)-I(1) bond lengths are 3.24 Å. H(1) is bonded to four equivalent Ca(1) atoms to form a mixture of corner and edge-sharing HCa4 tetrahedra. I(1) is bonded in a 4-coordinate geometry to four equivalent Ca(1) atoms."
NbCoTe2,"NbCoTe2 crystallizes in the orthorhombic Pmna space group. The structure is two-dimensional and consists of one NbCoTe2 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a 8-coordinate geometry to four equivalent Co(1), two equivalent Te(1), and two equivalent Te(2) atoms. There are two shorter (2.60 Å) and two longer (2.89 Å) Nb(1)-Co(1) bond lengths. Both Nb(1)-Te(1) bond lengths are 2.87 Å. Both Nb(1)-Te(2) bond lengths are 2.83 Å. Co(1) is bonded in a 9-coordinate geometry to four equivalent Nb(1), one Co(1), two equivalent Te(1), and two equivalent Te(2) atoms. The Co(1)-Co(1) bond length is 2.48 Å. Both Co(1)-Te(1) bond lengths are 2.56 Å. There is one shorter (2.62 Å) and one longer (2.63 Å) Co(1)-Te(2) bond length. There are two inequivalent Te sites. In the first Te site, Te(1) is bonded in a 4-coordinate geometry to two equivalent Nb(1) and two equivalent Co(1) atoms. In the second Te site, Te(2) is bonded in a 4-coordinate geometry to two equivalent Nb(1) and two equivalent Co(1) atoms."
CuBr,"CuBr is Boron Nitride-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one CuBr sheet oriented in the (0, 0, 1) direction. Cu(1) is bonded in a trigonal planar geometry to three equivalent Br(1) atoms. All Cu(1)-Br(1) bond lengths are 2.38 Å. Br(1) is bonded in a trigonal planar geometry to three equivalent Cu(1) atoms."
CS2,CS2 is Cyanogen Chloride-derived structured and crystallizes in the monoclinic C2/m space group. The structure is zero-dimensional and consists of two CS2 clusters. C(1) is bonded in a linear geometry to two equivalent S(1) atoms. Both C(1)-S(1) bond lengths are 1.55 Å. S(1) is bonded in a single-bond geometry to one C(1) atom.
CaCO3,"CaCO3 crystallizes in the orthorhombic Pmm2 space group. The structure is two-dimensional and consists of one CaCO3 sheet oriented in the (0, 0, 1) direction. Ca(1) is bonded in a hexagonal planar geometry to two equivalent O(1) and four equivalent O(2) atoms. Both Ca(1)-O(1) bond lengths are 2.42 Å. There are two shorter (2.37 Å) and two longer (2.61 Å) Ca(1)-O(2) bond lengths. C(1) is bonded in a trigonal planar geometry to one O(1) and two equivalent O(2) atoms. The C(1)-O(1) bond length is 1.31 Å. Both C(1)-O(2) bond lengths are 1.28 Å. There are two inequivalent O sites. In the first O site, O(1) is bonded in a distorted T-shaped geometry to two equivalent Ca(1) and one C(1) atom. In the second O site, O(2) is bonded in a 3-coordinate geometry to two equivalent Ca(1) and one C(1) atom."
CNCl,CNCl is Cyanogen Chloride-like structured and crystallizes in the orthorhombic Pmm2 space group. The structure is zero-dimensional and consists of one cyanogen chloride molecule. C(1) is bonded in a linear geometry to one N(1) and one Cl(1) atom. The C(1)-N(1) bond length is 1.17 Å. The C(1)-Cl(1) bond length is 1.62 Å. N(1) is bonded in a single-bond geometry to one C(1) atom. Cl(1) is bonded in a single-bond geometry to one C(1) atom.
RbBrF4,"RbBrF4 crystallizes in the tetragonal P4/mbm space group. The structure is two-dimensional and consists of one RbBrF4 sheet oriented in the (0, 0, 1) direction. Rb(1) is bonded in a distorted body-centered cubic geometry to eight equivalent F(1) atoms. All Rb(1)-F(1) bond lengths are 3.01 Å. Br(1) is bonded in a square co-planar geometry to four equivalent F(1) atoms. All Br(1)-F(1) bond lengths are 1.94 Å. F(1) is bonded in a 3-coordinate geometry to two equivalent Rb(1) and one Br(1) atom."
Bi2O3,"Bi2O3 crystallizes in the triclinic P-1 space group. The structure is two-dimensional and consists of one Bi2O3 sheet oriented in the (0, 0, 1) direction. There are two inequivalent Bi sites. In the first Bi site, Bi(1) is bonded in a 5-coordinate geometry to one O(2), two equivalent O(1), and two equivalent O(3) atoms. The Bi(1)-O(2) bond length is 2.09 Å. There is one shorter (2.36 Å) and one longer (2.64 Å) Bi(1)-O(1) bond length. There is one shorter (2.21 Å) and one longer (2.38 Å) Bi(1)-O(3) bond length. In the second Bi site, Bi(2) is bonded in a 3-coordinate geometry to one O(3) and two equivalent O(1) atoms. The Bi(2)-O(3) bond length is 2.12 Å. There is one shorter (2.17 Å) and one longer (2.40 Å) Bi(2)-O(1) bond length. There are three inequivalent O sites. In the first O site, O(1) is bonded in a 4-coordinate geometry to two equivalent Bi(1) and two equivalent Bi(2) atoms. In the second O site, O(2) is bonded in a single-bond geometry to one Bi(1) atom. In the third O site, O(3) is bonded in a distorted trigonal planar geometry to one Bi(2) and two equivalent Bi(1) atoms."
AgVP2Se6,"AgVP2Se6 crystallizes in the monoclinic C2 space group. The structure is two-dimensional and consists of one AgVP2Se6 sheet oriented in the (0, 0, 1) direction. V(1) is bonded to two equivalent Se(1), two equivalent Se(2), and two equivalent Se(3) atoms to form VSe6 octahedra that share corners with six equivalent P(1)PSe3 tetrahedra and edges with three equivalent Ag(1)Se6 octahedra. Both V(1)-Se(1) bond lengths are 2.59 Å. Both V(1)-Se(2) bond lengths are 2.59 Å. Both V(1)-Se(3) bond lengths are 2.59 Å. Ag(1) is bonded to two equivalent Se(1), two equivalent Se(2), and two equivalent Se(3) atoms to form AgSe6 octahedra that share corners with six equivalent P(1)PSe3 tetrahedra and edges with three equivalent V(1)Se6 octahedra. Both Ag(1)-Se(1) bond lengths are 2.88 Å. Both Ag(1)-Se(2) bond lengths are 2.88 Å. Both Ag(1)-Se(3) bond lengths are 2.88 Å. P(1) is bonded to one P(1), one Se(1), one Se(2), and one Se(3) atom to form PPSe3 tetrahedra that share corners with three equivalent V(1)Se6 octahedra and corners with three equivalent Ag(1)Se6 octahedra. The corner-sharing octahedral tilt angles range from 74-83°. The P(1)-P(1) bond length is 2.23 Å. The P(1)-Se(1) bond length is 2.24 Å. The P(1)-Se(2) bond length is 2.24 Å. The P(1)-Se(3) bond length is 2.24 Å. There are three inequivalent Se sites. In the first Se site, Se(1) is bonded in a distorted trigonal non-coplanar geometry to one V(1), one Ag(1), and one P(1) atom. In the second Se site, Se(2) is bonded in a distorted trigonal non-coplanar geometry to one V(1), one Ag(1), and one P(1) atom. In the third Se site, Se(3) is bonded in a distorted trigonal non-coplanar geometry to one V(1), one Ag(1), and one P(1) atom."
