material_id,formula,structure,description,band_gap,volume,is_gap_direct
mp-644751,BN,"Full Formula (B4 N4)
Reduced Formula: BN
abc   : 2.591464 4.292049 4.880089
angles: 90.000000 90.000000 90.000000
pbc   : True True True
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   B    0.750000 0.092904 0.659587    -0.0
1   B    0.250000 0.592904 0.840413    -0.0
2   B    0.750000 0.407096 0.159587    -0.0
3   B    0.250000 0.907096 0.340413    -0.0
4   N    0.750000 0.393514 0.821130    -0.0
5   N    0.250000 0.606486 0.178870    -0.0
6   N    0.250000 0.893514 0.678870    -0.0
7   N    0.750000 0.106486 0.321130    -0.0","BN is Boron Nitride-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one BN sheet oriented in the (0, 0, 1) direction. B(1) is bonded in a trigonal planar geometry to three equivalent N(1) atoms. All B(1)-N(1) bond lengths are 1.45 脜. N(1) is bonded in a trigonal planar geometry to three equivalent B(1) atoms.",,54.27971941176349,
mp-8732,Ta2Se,"Full Formula (Ta4 Se2)
Reduced Formula: Ta2Se
abc   : 3.382588 3.382588 10.237342
angles: 90.000000 90.000000 90.000000
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Ta   0.250000 0.250000 0.766834     0.0
1   Ta   0.750000 0.750000 0.233166     0.0
2   Ta   0.750000 0.750000 0.925659     0.0
3   Ta   0.250000 0.250000 0.074341     0.0
4   Se   0.750000 0.750000 0.647806     0.0
5   Se   0.250000 0.250000 0.352194     0.0","Ta2Se crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of two Ta2Se sheets oriented in the (0, 0, 1) direction. There are two inequivalent Ta sites. In the first Ta site, Ta(1) is bonded in a distorted single-bond geometry to one Se(1) atom. The Ta(1)-Se(1) bond length is 2.88 脜. In the second Ta site, Ta(2) is bonded in a 4-coordinate geometry to four equivalent Se(1) atoms. All Ta(2)-Se(1) bond lengths are 2.70 脜. Se(1) is bonded in a 5-coordinate geometry to one Ta(1) and four equivalent Ta(2) atoms.",,117.13469111504334,
mp-1356781,CoO2,"Full Formula (Co12 O24)
Reduced Formula: CoO2
abc   : 5.653066 5.653066 13.993839
angles: 90.000000 90.000000 120.000002
pbc   : True True True
Sites (36)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Co   0.838968 0.161032 0.833304   0.698
1   Co   0.838968 0.677936 0.833304   0.697
2   Co   0.505665 0.494335 0.499602    0.77
3   Co   0.322064 0.161032 0.833304     0.7
4   Co   0.505665 0.011330 0.499602   0.733
5   Co   0.333333 0.666667 0.336651   1.015
6   Co   0.333333 0.666667 0.711500   3.007
7   Co   0.167700 0.832300 0.169433    1.12
8   Co   0.988670 0.494335 0.499602   0.745
9   Co   0.167700 0.335400 0.169433   1.124
10  Co   0.664600 0.832300 0.169433   1.125
11  Co   0.666667 0.333333 0.043127   2.933
12  O    0.148702 0.851298 0.901040   0.417
13  O    0.000000 0.000000 0.761196  -0.073
14  O    0.148702 0.297405 0.901040   0.417
15  O    0.702595 0.851298 0.901040   0.418
16  O    0.819189 0.180811 0.565455   0.393
17  O    0.993759 0.496879 0.761887   0.376
18  O    0.666667 0.333333 0.429139   0.063
19  O    0.503121 0.006241 0.761887   0.376
20  O    0.666667 0.333333 0.906974   0.074
21  O    0.819189 0.638377 0.565455   0.392
22  O    0.361623 0.180811 0.565455   0.391
23  O    0.503121 0.496879 0.761887   0.375
24  O    0.479368 0.520632 0.245793  -0.021
25  O    0.626717 0.813359 0.421621   0.087
26  O    0.186641 0.373283 0.421621   0.082
27  O    0.333333 0.666667 0.099587  -0.077
28  O    0.333333 0.666667 0.574893   0.097
29  O    0.479368 0.958736 0.245793  -0.019
30  O    0.041264 0.520632 0.245793  -0.023
31  O    0.186641 0.813359 0.421621   0.094
32  O    0.323244 0.161622 0.098339   0.203
33  O    0.838378 0.676756 0.098339   0.212
34  O    0.000000 0.000000 0.235829  -0.081
35  O    0.838378 0.161622 0.098339   0.208","Lix0CoO2 is trigonal omega-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one Lix0CoO2 sheet oriented in the (0, 0, 1) direction. Co(1) is bonded to six equivalent O(1) atoms to form edge-sharing CoO6 octahedra. All Co(1)-O(1) bond lengths are 1.88 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent Co(1) atoms.",,387.2894238372575,
mp-34688,TiO2,"Full Formula (Ti2 O4)
Reduced Formula: TiO2
abc   : 3.827349 3.827349 5.472039
angles: 70.106639 70.106639 90.013147
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Ti   0.865890 0.134110 0.250000    -0.0
1   Ti   0.134110 0.865890 0.750000    -0.0
2   O    0.668779 0.911245 0.667149     0.0
3   O    0.331221 0.088755 0.332851     0.0
4   O    0.088755 0.331221 0.832851     0.0
5   O    0.911245 0.668779 0.167149     0.0",TiO2 is Cyanogen Chloride-derived structured and crystallizes in the hexagonal P6/mmm space group. The structure is zero-dimensional and consists of one titanium dihydroxide molecule. Ti(1) is bonded in a linear geometry to two equivalent O(1) atoms. Both Ti(1)-O(1) bond lengths are 1.72 脜. O(1) is bonded in a single-bond geometry to one Ti(1) atom.,,70.26402113532312,
mp-973981,LuBrO,"Full Formula (Lu2 Br2 O2)
Reduced Formula: LuBrO
abc   : 3.725893 3.725893 8.746313
angles: 90.000000 90.000000 90.000000
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Lu   0.750000 0.750000 0.376043    -0.0
1   Lu   0.250001 0.250001 0.623956    -0.0
2   Br   0.250001 0.250001 0.186435     0.0
3   Br   0.750000 0.750000 0.813565     0.0
4   O    0.750000 0.250001 0.500000    -0.0
5   O    0.250001 0.750000 0.500000    -0.0","LuOBr is lead oxide-derived structured and crystallizes in the tetragonal P4/nmm space group. The structure is two-dimensional and consists of one LuOBr sheet oriented in the (0, 0, 1) direction. Lu(1) is bonded in a 4-coordinate geometry to four equivalent O(1) and four equivalent Br(1) atoms. All Lu(1)-O(1) bond lengths are 2.17 脜. All Lu(1)-Br(1) bond lengths are 3.12 脜. O(1) is bonded to four equivalent Lu(1) atoms to form a mixture of corner and edge-sharing OLu4 tetrahedra. Br(1) is bonded in a 4-coordinate geometry to four equivalent Lu(1) atoms.",,121.41877889759029,
mp-12597,TaP,"Full Formula (Ta2 P2)
Reduced Formula: TaP
abc   : 5.779247 5.779247 5.779247
angles: 144.690136 144.690136 50.796533
pbc   : True True True
Sites (4)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Ta   0.500000 0.500000 0.000000  -0.001
1   Ta   0.250000 0.750000 0.500000  -0.001
2   P    0.000000 0.000000 0.000000     0.0
3   P    0.750000 0.250000 0.500000     0.0","TaP crystallizes in the tetragonal P4/mmm space group. The structure is two-dimensional and consists of one TaP sheet oriented in the (0, 0, 1) direction. Ta(1) is bonded in a square co-planar geometry to four equivalent P(1) atoms. All Ta(1)-P(1) bond lengths are 2.45 脜. P(1) is bonded in a square co-planar geometry to four equivalent Ta(1) atoms.",,64.15447129015593,
mp-1019276,TaSe2,"Full Formula (Ta2 Se4)
Reduced Formula: TaSe2
abc   : 3.474082 3.474120 13.420590
angles: 90.000000 90.000000 119.999650
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Ta   0.333353 0.666706 0.250000   0.537
1   Ta   0.666647 0.333294 0.750000   0.537
2   Se   0.333319 0.666637 0.874108   0.006
3   Se   0.666681 0.333363 0.125892   0.006
4   Se   0.666681 0.333363 0.374108   0.006
5   Se   0.333319 0.666637 0.625892   0.006","TaSe2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TaSe2 sheet oriented in the (0, 0, 1) direction. Ta(1) is bonded to six equivalent Se(1) atoms to form edge-sharing TaSe6 octahedra. All Ta(1)-Se(1) bond lengths are 2.61 脜. Se(1) is bonded in a distorted T-shaped geometry to three equivalent Ta(1) atoms.",,140.2776952516514,
mp-501,TaSe2,"Full Formula (Ta4 Se8)
Reduced Formula: TaSe2
abc   : 3.487769 3.487768 26.349306
angles: 90.000000 90.000000 119.999998
pbc   : True True True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Ta   0.000000 0.000000 0.000000   0.038
1   Ta   0.000000 0.000000 0.500000   0.038
2   Ta   -0.000000 0.000000 0.250000     0.5
3   Ta   0.000000 -0.000000 0.750000     0.5
4   Se   0.333333 0.666667 0.062116   0.001
5   Se   0.666667 0.333333 0.562117   0.001
6   Se   0.666667 0.333333 0.937883   0.001
7   Se   0.333333 0.666667 0.437883   0.001
8   Se   0.333333 0.666667 0.687074   0.007
9   Se   0.666667 0.333333 0.187074   0.007
10  Se   0.666667 0.333333 0.312926   0.007
11  Se   0.333333 0.666667 0.812926   0.007","TaSe2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TaSe2 sheet oriented in the (0, 0, 1) direction. Ta(1) is bonded to six equivalent Se(1) atoms to form edge-sharing TaSe6 octahedra. All Ta(1)-Se(1) bond lengths are 2.61 脜. Se(1) is bonded in a distorted T-shaped geometry to three equivalent Ta(1) atoms.",,277.58450713143094,
mp-23739,SiH4,"Full Formula (Si4 H16)
Reduced Formula: SiH4
abc   : 4.956761 7.556045 7.541742
angles: 103.405608 90.000000 90.000000
pbc   : True True True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Si   0.928149 0.861148 0.248926    -0.0
1   Si   0.428149 0.638852 0.751074    -0.0
2   Si   0.071851 0.138852 0.751074    -0.0
3   Si   0.571851 0.361148 0.248926    -0.0
4   H    0.064418 0.020258 0.205426     0.0
5   H    0.564418 0.479742 0.794574     0.0
6   H    0.935582 0.979742 0.794574     0.0
7   H    0.435582 0.520258 0.205426     0.0
8   H    0.566559 0.207034 0.086814     0.0
9   H    0.066559 0.292966 0.913186     0.0
10  H    0.433441 0.792966 0.913186     0.0
11  H    0.933441 0.707034 0.086814     0.0
12  H    0.854878 0.409002 0.302468     0.0
13  H    0.354878 0.090998 0.697532     0.0
14  H    0.145122 0.590998 0.697532     0.0
15  H    0.645122 0.909002 0.302468     0.0
16  H    0.429623 0.308150 0.401521    -0.0
17  H    0.929623 0.191850 0.598479    -0.0
18  H    0.570377 0.691850 0.598479    -0.0
19  H    0.070377 0.808150 0.401521    -0.0","SiH4 is Silicon tetrafluoride-like structured and crystallizes in the monoclinic Pc space group. The structure is zero-dimensional and consists of two 5j076063r1 molecules. Si(1) is bonded in a tetrahedral geometry to one H(2); one H(3); and two equivalent H(1,4) atoms. The Si(1)-H(2) bond length is 1.49 脜. The Si(1)-H(3) bond length is 1.49 脜. Both Si(1)-H(1,4) bond lengths are 1.49 脜. There are three inequivalent H sites. In the first H site, H(1,4) is bonded in a single-bond geometry to one Si(1) atom. In the second H site, H(2) is bonded in a single-bond geometry to one Si(1) atom. In the third H site, H(3) is bonded in a single-bond geometry to one Si(1) atom.",,274.7684273612943,
mp-754748,CoO2,"Full Formula (Co4 O8)
Reduced Formula: CoO2
abc   : 2.821058 10.948724 4.929157
angles: 102.914404 89.911779 95.919886
pbc   : True True True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Co   0.539879 0.992128 0.500711  -1.109
1   Co   0.294993 0.496133 0.748277  -1.109
2   Co   0.039877 0.992128 0.000711   1.109
3   Co   0.794977 0.496129 0.248274   1.109
4   O    0.004367 0.903745 0.624099   0.005
5   O    0.504328 0.903706 0.124012  -0.005
6   O    0.329917 0.584541 0.459237  -0.005
7   O    0.829926 0.584522 0.959279   0.005
8   O    0.075250 0.080555 0.377271   0.005
9   O    0.575286 0.080595 0.877354  -0.005
10  O    0.759689 0.407639 0.536978   0.005
11  O    0.259700 0.407621 0.037022  -0.005","Lix0CoO2 is trigonal omega-like structured and crystallizes in the monoclinic C2/m space group. The structure is two-dimensional and consists of one Lix0CoO2 sheet oriented in the (0, 0, 1) direction. Co(1) is bonded to six equivalent O(1) atoms to form edge-sharing CoO6 octahedra. All Co(1)-O(1) bond lengths are 1.88 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent Co(1) atoms.",,147.5680165419426,
mp-2070,CoS2,"Full Formula (Co4 S8)
Reduced Formula: CoS2
abc   : 5.524062 5.524054 5.524082
angles: 89.999907 90.000016 90.000031
pbc   : True True True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Co   -0.000000 0.500000 0.500000   1.049
1   Co   0.500000 0.500000 0.000000    1.05
2   Co   0.500000 -0.000000 0.500000    1.05
3   Co   -0.000000 -0.000000 0.000000   1.049
4   S    0.390873 0.109124 0.890878  -0.018
5   S    0.109116 0.890867 0.390876  -0.018
6   S    0.890882 0.390877 0.109131  -0.018
7   S    0.609131 0.609116 0.609124  -0.018
8   S    0.390869 0.390884 0.390876  -0.018
9   S    0.109118 0.609123 0.890869  -0.018
10  S    0.890884 0.109133 0.609124  -0.018
11  S    0.609127 0.890876 0.109122  -0.018","CoS2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one CoS2 sheet oriented in the (0, 0, 1) direction. Co(1) is bonded to six equivalent S(1) atoms to form edge-sharing CoS6 octahedra. All Co(1)-S(1) bond lengths are 2.25 脜. S(1) is bonded in a distorted T-shaped geometry to three equivalent Co(1) atoms.",,168.5685481851701,
mp-1443203,FeO2,"Full Formula (Fe4 O8)
Reduced Formula: FeO2
abc   : 5.816265 5.816265 5.816265
angles: 61.554016 61.554016 61.554018
pbc   : True True True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Fe   0.760433 0.760433 0.760433   4.305
1   Fe   0.885101 0.369442 0.369442   3.852
2   Fe   0.369442 0.369442 0.885101   3.852
3   Fe   0.369442 0.885101 0.369442   3.852
4   O    0.629422 0.155147 0.629422   0.082
5   O    0.629422 0.629422 0.155147   0.082
6   O    0.155147 0.629422 0.629422   0.082
7   O    0.623203 0.623203 0.623203   0.193
8   O    0.127214 0.127214 0.127214   0.071
9   O    0.573544 0.127538 0.127538   -0.17
10  O    0.127538 0.127538 0.573544   -0.17
11  O    0.127538 0.573544 0.127538   -0.17","FeO2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one FeO2 sheet oriented in the (0, 0, 1) direction. Fe(1) is bonded to six equivalent O(1) atoms to form edge-sharing FeO6 octahedra. All Fe(1)-O(1) bond lengths are 1.89 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent Fe(1) atoms.",,143.98045822339142,
mp-821,NbO2,"Full Formula (Nb16 O32)
Reduced Formula: NbO2
abc   : 6.040025 10.248592 10.248066
angles: 85.019089 72.860434 72.865401
pbc   : True True True
Sites (48)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Nb   0.139803 0.510654 0.261804     0.0
1   Nb   0.401661 0.238267 0.510585    -0.0
2   Nb   0.150808 0.261763 0.989400     0.0
3   Nb   0.912205 0.989377 0.238209    -0.0
4   Nb   0.860199 0.489347 0.738196    -0.0
5   Nb   0.598339 0.761732 0.489416    -0.0
6   Nb   0.849193 0.738238 0.010600     0.0
7   Nb   0.087797 0.010622 0.761791    -0.0
8   Nb   0.605356 0.490083 0.240278    -0.0
9   Nb   0.845696 0.259649 0.490070     0.0
10  Nb   0.595819 0.240262 0.009868    -0.0
11  Nb   0.335716 0.009853 0.259738     0.0
12  Nb   0.394645 0.509916 0.759721     0.0
13  Nb   0.154303 0.740350 0.509930     0.0
14  Nb   0.404180 0.759736 0.990132    -0.0
15  Nb   0.664282 0.990148 0.740262    -0.0
16  O    0.775396 0.350357 0.100484    -0.0
17  O    0.875755 0.399497 0.350381    -0.0
18  O    0.625725 0.100382 0.149491    -0.0
19  O    0.226224 0.149610 0.399449     0.0
20  O    0.224604 0.649644 0.899519     0.0
21  O    0.124246 0.600501 0.649620    -0.0
22  O    0.374274 0.899621 0.850509    -0.0
23  O    0.773776 0.850389 0.600548    -0.0
24  O    0.256712 0.361918 0.112218    -0.0
25  O    0.368443 0.387827 0.361989    -0.0
26  O    0.118364 0.112157 0.137971     0.0
27  O    0.730442 0.138083 0.387679     0.0
28  O    0.743291 0.638082 0.887781    -0.0
29  O    0.631560 0.612176 0.638012     0.0
30  O    0.881635 0.887841 0.862029     0.0
31  O    0.269553 0.861918 0.612321     0.0
32  O    0.976506 0.150575 0.902148    -0.0
33  O    0.878576 0.597701 0.150434     0.0
34  O    0.626767 0.902176 0.349503     0.0
35  O    0.028991 0.349480 0.597720    -0.0
36  O    0.023494 0.849424 0.097851    -0.0
37  O    0.121426 0.402300 0.849565     0.0
38  O    0.373228 0.097822 0.650498     0.0
39  O    0.971006 0.650521 0.402280    -0.0
40  O    0.478013 0.138727 0.886844     0.0
41  O    0.364722 0.613068 0.138712    -0.0
42  O    0.116224 0.886980 0.361432    -0.0
43  O    0.503462 0.361378 0.613038    -0.0
44  O    0.521988 0.861274 0.113157    -0.0
45  O    0.635279 0.386932 0.861289     0.0
46  O    0.883776 0.113021 0.638567     0.0
47  O    0.496540 0.638622 0.386961     0.0","NbO2 is Molybdenite-like structured and crystallizes in the hexagonal P-6m2 space group. The structure is two-dimensional and consists of one NbO2 sheet oriented in the (0, 0, 1) direction. Nb(1) is bonded in a 6-coordinate geometry to six equivalent O(1) atoms. All Nb(1)-O(1) bond lengths are 2.10 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent Nb(1) atoms.",,579.294522565521,
mp-583463,FeCl3,"Full Formula (Fe6 Cl18)
Reduced Formula: FeCl3
abc   : 6.100460 6.100316 17.938273
angles: 90.009051 89.985957 119.997766
pbc   : True True True
Sites (24)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Fe   0.333287 0.666723 0.666695   4.009
1   Fe   0.666607 0.333340 0.333142   4.009
2   Fe   0.333265 0.666690 0.333234   4.009
3   Fe   0.000145 0.999941 0.000046   4.009
4   Fe   0.666623 0.333390 0.666803   4.009
5   Fe   0.333488 0.666586 0.000049   4.009
6   Cl   0.026511 0.333123 0.923920   0.248
7   Cl   -0.000246 0.359945 0.257034   0.249
8   Cl   0.360044 0.000258 0.257045   0.249
9   Cl   0.640024 0.000227 0.742901   0.249
10  Cl   0.026663 0.693250 0.076222   0.248
11  Cl   0.999691 0.640026 0.742895   0.249
12  Cl   0.306777 0.333140 0.076201   0.248
13  Cl   0.307145 0.973640 0.923950   0.248
14  Cl   0.359901 0.359882 0.742887   0.249
15  Cl   0.358176 0.358469 0.409037   0.248
16  Cl   0.640077 0.639910 0.257040   0.249
17  Cl   0.666911 0.973387 0.076232   0.248
18  Cl   0.641439 -0.000084 0.409048   0.248
19  Cl   0.000044 0.358549 0.590876   0.248
20  Cl   0.999959 0.641769 0.409025   0.248
21  Cl   0.358379 -0.000032 0.590890   0.248
22  Cl   0.666989 0.692958 0.923955   0.248
23  Cl   0.641440 0.641574 0.590872   0.248","FeCl3 is Aluminum trichloride-like structured and crystallizes in the trigonal P-31m space group. The structure is two-dimensional and consists of one FeCl3 sheet oriented in the (0, 0, 1) direction. Fe(1) is bonded to six equivalent Cl(1) atoms to form edge-sharing FeCl6 octahedra. All Fe(1)-Cl(1) bond lengths are 2.26 脜. Cl(1) is bonded in an L-shaped geometry to two equivalent Fe(1) atoms.",,578.1438476765462,
mp-567259,CdI2,"Full Formula (Cd1 I2)
Reduced Formula: CdI2
abc   : 4.291012 4.291011 7.303583
angles: 90.000000 90.000000 119.999996
pbc   : True True True
Sites (3)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Cd   -0.000000 0.000000 0.000000    -0.0
1   I    0.333333 0.666667 0.235791     0.0
2   I    0.666667 0.333333 0.764209     0.0","CdI2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one CdI2 sheet oriented in the (0, 0, 1) direction. Cd(1) is bonded to six equivalent I(1) atoms to form edge-sharing CdI6 octahedra. All Cd(1)-I(1) bond lengths are 3.02 脜. I(1) is bonded in a distorted T-shaped geometry to three equivalent Cd(1) atoms.",,116.46245963575316,
mp-25210,NiO2,"Full Formula (Ni1 O2)
Reduced Formula: NiO2
abc   : 2.799758 2.799758 5.059619
angles: 73.938040 73.938040 59.999997
pbc   : True True True
Sites (3)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Ni   0.000000 0.000000 0.000000     0.0
1   O    0.267959 0.267959 0.196123    -0.0
2   O    0.732041 0.732041 0.803877    -0.0","NiO2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one NiO2 sheet oriented in the (0, 0, 1) direction. Ni(1) is bonded to six equivalent O(1) atoms to form edge-sharing NiO6 octahedra. All Ni(1)-O(1) bond lengths are 1.88 脜. O(1) is bonded in a distorted T-shaped geometry to three equivalent Ni(1) atoms.",,32.5470405054696,
mp-571279,ZrI2,"Full Formula (Zr4 I8)
Reduced Formula: ZrI2
abc   : 3.773505 6.914353 15.630800
angles: 95.373809 90.000000 90.000000
pbc   : True True True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Zr   0.250000 0.685477 0.997185    -0.0
1   Zr   0.250000 0.186593 0.503015    -0.0
2   Zr   0.750000 0.314523 0.002815    -0.0
3   Zr   0.750000 0.813407 0.496985    -0.0
4   I    0.250000 0.602327 0.605102    -0.0
5   I    0.750000 0.397673 0.394898    -0.0
6   I    0.750000 0.552422 0.858558     0.0
7   I    0.750000 0.942653 0.105119     0.0
8   I    0.250000 0.447578 0.141442     0.0
9   I    0.750000 0.111485 0.641587     0.0
10  I    0.250000 0.057347 0.894881     0.0
11  I    0.250000 0.888515 0.358413     0.0","ZrI2 is Molybdenite-like structured and crystallizes in the monoclinic P2_1/m space group. The structure is two-dimensional and consists of one ZrI2 sheet oriented in the (0, 0, 1) direction. Zr(1) is bonded in a 6-coordinate geometry to three equivalent I(1) and three equivalent I(2) atoms. There are two shorter (3.00 脜) and one longer (3.13 脜) Zr(1)-I(1) bond length. There is one shorter (2.92 脜) and two longer (2.95 脜) Zr(1)-I(2) bond lengths. There are two inequivalent I sites. In the first I site, I(1) is bonded in a 3-coordinate geometry to three equivalent Zr(1) atoms. In the second I site, I(2) is bonded in a 3-coordinate geometry to three equivalent Zr(1) atoms.",,406.03612405471495,
mp-22855,HgCl2,"Full Formula (Hg4 Cl8)
Reduced Formula: HgCl2
abc   : 4.744632 5.737349 12.478797
angles: 90.000000 90.000000 90.000000
pbc   : True True True
Sites (12)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Hg   0.536959 0.750000 0.373587     0.0
1   Hg   0.036959 0.250000 0.126413     0.0
2   Hg   0.463041 0.250000 0.626413     0.0
3   Hg   0.963041 0.750000 0.873587     0.0
4   Cl   0.276073 0.750000 0.015635    -0.0
5   Cl   0.776073 0.250000 0.484365    -0.0
6   Cl   0.723927 0.250000 0.984365    -0.0
7   Cl   0.223927 0.750000 0.515635    -0.0
8   Cl   0.652358 0.750000 0.730800    -0.0
9   Cl   0.152358 0.250000 0.769200    -0.0
10  Cl   0.347642 0.250000 0.269200    -0.0
11  Cl   0.847642 0.750000 0.230800    -0.0",HgCl2 is Cyanogen Chloride-derived structured and crystallizes in the orthorhombic Pbam space group. The structure is zero-dimensional and consists of two mercuric chloride molecules. Hg(1) is bonded in a linear geometry to two equivalent Cl(1) atoms. Both Hg(1)-Cl(1) bond lengths are 2.32 脜. Cl(1) is bonded in a single-bond geometry to one Hg(1) atom.,,339.6929744266541,
mp-16226,TaS2,"Full Formula (Ta2 S4)
Reduced Formula: TaS2
abc   : 12.617108 12.617108 12.617107
angles: 15.302805 15.302805 15.302803
pbc   : True True True
Sites (6)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Ta   0.916889 0.916889 0.916889  -0.001
1   Ta   0.082893 0.082893 0.082893   0.256
2   S    0.624271 0.624271 0.624271   0.001
3   S    0.457494 0.457494 0.457494   0.005
4   S    0.209463 0.209463 0.209463     0.0
5   S    0.374989 0.374989 0.374989   0.006","TaS2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one TaS2 sheet oriented in the (0, 0, 1) direction. Ta(1) is bonded to six equivalent S(1) atoms to form edge-sharing TaS6 octahedra. All Ta(1)-S(1) bond lengths are 2.48 脜. S(1) is bonded in a distorted T-shaped geometry to three equivalent Ta(1) atoms.",,121.87912281196824,
mp-22881,CdCl2,"Full Formula (Cd1 Cl2)
Reduced Formula: CdCl2
abc   : 6.499191 6.499191 6.499190
angles: 34.524441 34.524433 34.524442
pbc   : True True True
Sites (3)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
0   Cd   -0.000000 -0.000000 0.000000     0.0
1   Cl   0.745373 0.745373 0.745373    -0.0
2   Cl   0.254627 0.254627 0.254627    -0.0","CdCl2 is trigonal omega-like structured and crystallizes in the trigonal P-3m1 space group. The structure is two-dimensional and consists of one CdCl2 sheet oriented in the (0, 0, 1) direction. Cd(1) is bonded to six equivalent Cl(1) atoms to form edge-sharing CdCl6 octahedra. All Cd(1)-Cl(1) bond lengths are 2.66 脜. Cl(1) is bonded in a distorted T-shaped geometry to three equivalent Cd(1) atoms.",,78.67112972818981,
